EventId,EventName,EventCategoryId,EventCategoryName,StartDateTime,EndDateTime,ReservationId,BackgroundColor,TextColor,IsRegistered,SsoUrl,ImageUrl,MaxRegistrants,RegisteredCount,PriceInfo,RatingRestrictions,TagsInfo
1389821,4.0 Open Play,40425,Advanced,2025-07-05T07:00:00,2025-07-05T09:00:00,37457719,#121312,#ffffff,False,REDACTED,,10.0,,[],[],[]
1389824,3.75+ Open Play,47676,Low Advanced,2025-07-05T07:00:00,2025-07-05T09:00:00,37457775,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1389797,3.75+ Open Play,47676,Low Advanced,2025-07-05T09:00:00,2025-07-05T11:00:00,37457050,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1389803,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-05T09:00:00,2025-07-05T11:00:00,37457140,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389743,Intro to Pickleball,61814,Intro to Pickleball,2025-07-05T10:00:00,2025-07-05T11:00:00,37455643,#a8e6cf,#000000,False,REDACTED,,8.0,,[],[],[]
1389772,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-05T11:00:00,2025-07-05T13:00:00,37456609,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389761,All You Can Play $15 Flat - Free with Basic and Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-05T13:00:00,2025-07-05T15:00:00,37456352,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1389758,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-05T15:00:00,2025-07-05T18:00:00,37456160,#74d600,#000000,False,REDACTED,,42.0,,[],[],[]
1342216,Closed Courts,46821,Closed Courts,2025-07-05T18:30:00,2025-07-05T23:59:00,37452398,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1389821,4.0 Open Play,40425,Advanced,2025-07-06T07:00:00,2025-07-06T09:00:00,37457720,#121312,#ffffff,False,REDACTED,,10.0,,[],[],[]
1389824,3.75+ Open Play,47676,Low Advanced,2025-07-06T07:00:00,2025-07-06T09:00:00,37457776,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1389797,3.75+ Open Play,47676,Low Advanced,2025-07-06T09:00:00,2025-07-06T11:00:00,37457051,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1224713,Beginner Open Play (Unsupervised),61862,Beginner Open Play,2025-07-06T11:00:00,2025-07-06T12:00:00,33580121,#dcedc1,#000000,False,REDACTED,,4.0,,[],[],[]
1389768,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-06T11:00:00,2025-07-06T13:00:00,37456533,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389778,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-06T11:00:00,2025-07-06T13:00:00,37456673,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389761,All You Can Play $15 Flat - Free with Basic and Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-06T13:00:00,2025-07-06T15:00:00,37456353,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1389758,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-06T15:00:00,2025-07-06T18:00:00,37456161,#74d600,#000000,False,REDACTED,,42.0,,[],[],[]
1389757,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-06T18:00:00,2025-07-06T21:00:00,37456013,#74d600,#000000,False,REDACTED,,42.0,,[],[],[]
1342216,Closed Courts,46821,Closed Courts,2025-07-06T21:00:00,2025-07-06T23:59:00,37452399,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1287090,Closed Courts,46821,Closed Courts,2025-07-07T07:00:00,2025-07-07T09:00:00,37452127,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1516644,Closed Courts,46821,Closed Courts,2025-07-07T07:00:00,2025-07-07T09:00:00,40294320,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
