Id,ReservationTypeId,ReservationTypeName,Courts,Instructors,IsLesson,StartTime,EndTime,CreatedOnUtc,UpdatedOnUtc,CancelledOn,Players,UserDefinedFields
36678511,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-07T08:00:00,2025-06-07T10:00:00,2025-06-07T11:04:23.83,2025-06-07T08:02:30.793,,REDACTED,[]
36678592,57948,Reserve Court: Singles,Court #2,REDACTED,False,2025-06-07T11:00:00,2025-06-07T12:00:00,2025-06-07T11:11:22.537,,,REDACTED,[]
36691827,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-08T16:00:00,2025-06-08T17:30:00,2025-06-07T18:22:58.57,2025-06-08T16:43:20.53,,REDACTED,[]
36699824,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-08T17:30:00,2025-06-08T18:30:00,2025-06-07T21:05:23.57,,,REDACTED,[]
36706044,57948,Reserve Court: Singles,Court #6,REDACTED,False,2025-06-08T10:00:00,2025-06-08T11:00:00,2025-06-08T01:17:31.733,2025-06-08T10:02:01.41,,REDACTED,[]
36706064,57948,Reserve Court: Singles,Court #6,REDACTED,False,2025-06-08T11:00:00,2025-06-08T12:00:00,2025-06-08T01:17:55.493,,,REDACTED,[]
36712108,57948,Reserve Court: Singles,Court #8,REDACTED,False,2025-06-08T07:00:00,2025-06-08T09:00:00,2025-06-08T12:16:02.67,,,REDACTED,[]
36712199,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-08T13:00:00,2025-06-08T14:00:00,2025-06-08T12:19:51.873,,,REDACTED,[]
36714899,57948,Reserve Court: Singles,Court #5,REDACTED,False,2025-06-08T10:00:00,2025-06-08T12:00:00,2025-06-08T13:55:25.417,2025-06-08T10:01:11.88,,REDACTED,[]
36717546,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-08T11:00:00,2025-06-08T12:00:00,2025-06-08T15:09:57.037,2025-06-08T12:14:13.303,,REDACTED,[]
36718830,57948,Reserve Court: Singles,Court #2,REDACTED,False,2025-06-09T10:00:00,2025-06-09T11:00:00,2025-06-08T15:50:24.697,2025-06-09T10:21:40.667,,REDACTED,[]
36719347,52120,Reserve Court: Doubles,Court #8,REDACTED,False,2025-06-10T12:00:00,2025-06-10T14:00:00,2025-06-08T16:03:17.453,2025-06-10T15:33:30.603,,REDACTED,[]
